date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:20	100/100	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:20%20GMT	http://www.prathaptraders.co.in/robots.txt		(from )
20:43:22	102315/102315	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:20%20GMT	http://www.prathaptraders.co.in/	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/index.html	(from )
20:43:22	89850/89850	---M-Z	200	added ('OK')	text/css	etag:%2215efa-5ad9ed3ed98e1-gzip%22	https://catalog.wlimg.com/main-common/catalog_common.css	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/catalog_common.css	(from http://www.prathaptraders.co.in/)
20:43:23	323221/323221	---M-Z	200	added ('OK')	text/css	etag:%224ee95-5ae8e840d75cc-gzip%22	https://catalog.wlimg.com/templates-images/12569/12572/catalog.css	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/catalog.css	(from http://www.prathaptraders.co.in/)
20:43:24	8153/8153	---M-Z	200	added ('OK')	text/css	etag:%221fd9-58e6b9afad791-gzip%22	https://catalog.wlimg.com/templates-images/12569/12572/responsive.css	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/responsive.css	(from http://www.prathaptraders.co.in/)
20:43:25	21394/21394	---M-Z	200	added ('OK')	text/css	etag:%225392-5ad26391beaad-gzip%22	https://catalog.wlimg.com/templates-images/12569/12572/mobile.css	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/mobile.css	(from http://www.prathaptraders.co.in/)
20:43:26	4152/4152	---M-Z	200	added ('OK')	text/css	etag:%221038-58e6b9afc8159-gzip%22	https://catalog.wlimg.com/templates-images/12569/12572/preset.css	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/preset.css	(from http://www.prathaptraders.co.in/)
20:43:28	452904/452904	---M-Z	200	added ('OK')	application/javascript	etag:%226e928-5a3647590d8a5-gzip%22	https://catalog.wlimg.com/main-common/catalog_common.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/catalog_common.js	(from http://www.prathaptraders.co.in/)
20:43:28	142540/142540	---M-Z	200	added ('OK')	application/javascript	etag:%2222ccc-58b1f08693658-gzip%22	https://catalog.wlimg.com/templates-images/12569/common/catalog.js	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/common/catalog.js	(from http://www.prathaptraders.co.in/)
20:43:29	1371/1371	---M--	200	added ('OK')	image/gif	etag:%2255b-5638504bf4f40%22	https://catalog.wlimg.com/templates-images/12569/12572/setting-icon.gif	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/setting-icon.gif	(from http://www.prathaptraders.co.in/)
20:43:32	462811/462811	---M--	200	added ('OK')	image/png	etag:%2270fdb-559386b12fb40%22	https://catalog.wlimg.com/templates-images/12569/12572/ei_footerbg.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/ei_footerbg.png	(from http://www.prathaptraders.co.in/)
20:43:32	2883/2883	---M--	200	added ('OK')	image/png	etag:%22b43-5acd0c86d7b20%22	https://catalog.wlimg.com/1/7416829/other-images/12569-comp-image.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/1/7416829/other-images/12569-comp-image.png	(from http://www.prathaptraders.co.in/)
20:43:37	87382/87382	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:35%20GMT	http://www.prathaptraders.co.in/cashew-nuts.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/cashew-nuts.html	(from http://www.prathaptraders.co.in/)
20:43:39	112292/112292	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:37%20GMT	http://www.prathaptraders.co.in/natural-cashew-nuts.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/natural-cashew-nuts.html	(from http://www.prathaptraders.co.in/)
20:43:41	112290/112290	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:39%20GMT	http://www.prathaptraders.co.in/organic-cashew-nuts.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/organic-cashew-nuts.html	(from http://www.prathaptraders.co.in/)
20:43:43	112316/112316	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:41%20GMT	http://www.prathaptraders.co.in/scorched-cashew-nuts.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/scorched-cashew-nuts.html	(from http://www.prathaptraders.co.in/)
20:43:45	112247/112247	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:43%20GMT	http://www.prathaptraders.co.in/split-cashew-nuts.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/split-cashew-nuts.html	(from http://www.prathaptraders.co.in/)
20:43:48	112431/112431	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:46%20GMT	http://www.prathaptraders.co.in/masala-cashew-nuts.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/masala-cashew-nuts.html	(from http://www.prathaptraders.co.in/)
20:43:49	89261/89261	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:48%20GMT	http://www.prathaptraders.co.in/contact-us.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/contact-us.html	(from http://www.prathaptraders.co.in/)
20:43:51	2792/2792	---M--	200	added ('OK')	image/png	etag:%22ae8-5638505e13a00%22	https://catalog.wlimg.com/templates-images/12569/12572/spacer.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/spacer.png	(from http://www.prathaptraders.co.in/)
20:43:51	4016/4016	---M--	200	added ('OK')	image/jpeg	etag:%22fb0-5acd0c86da618%22	https://catalog.wlimg.com/1/7416829/other-images/comp-info-img-15873.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/1/7416829/other-images/comp-info-img-15873.jpg	(from http://www.prathaptraders.co.in/)
20:43:52	6647/6647	---M--	200	added ('OK')	image/jpeg	etag:%2219f7-5acd0c86daa00%22	https://catalog.wlimg.com/1/7416829/other-images/comp-info-img-15874.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/1/7416829/other-images/comp-info-img-15874.jpg	(from http://www.prathaptraders.co.in/)
20:43:53	3165/3165	---M--	200	added ('OK')	image/jpeg	etag:%22c5d-5acd0c86db1d0%22	https://catalog.wlimg.com/1/7416829/other-images/comp-info-img-15875.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/1/7416829/other-images/comp-info-img-15875.jpg	(from http://www.prathaptraders.co.in/)
